ym,mean_days,median_days,n,def_id,start,daytype,scope
2017-02,9.500043211476978,7.857142857142858,1653,purchase|business|delivered_only,purchase,business,delivered_only
2018-07,6.348394133481851,5.0,6156,purchase|business|delivered_only,purchase,business,delivered_only
2018-04,8.156705753793144,6.428571428571429,6798,purchase|business|delivered_only,purchase,business,delivered_only
2018-01,10.004142836933884,8.571428571428571,7069,purchase|business|delivered_only,purchase,business,delivered_only
2018-05,8.097495925322331,6.428571428571429,6749,purchase|business|delivered_only,purchase,business,delivered_only
2017-12,10.932600865486751,9.285714285714285,5513,purchase|business|delivered_only,purchase,business,delivered_only
2017-04,10.730723900502454,9.285714285714285,2303,purchase|business|delivered_only,purchase,business,delivered_only
2018-08,5.470117191893269,5.0,6351,purchase|business|delivered_only,purchase,business,delivered_only
2017-03,9.317416676018384,7.142857142857142,2546,purchase|business|delivered_only,purchase,business,delivered_only
2018-03,11.598294608433141,9.285714285714285,7003,purchase|business|delivered_only,purchase,business,delivered_only
2017-01,9.109523809523807,7.857142857142858,750,purchase|business|delivered_only,purchase,business,delivered_only
2016-10,14.024258760107818,12.857142857142858,265,purchase|business|delivered_only,purchase,business,delivered_only
2016-12,3.571428571428571,3.571428571428571,1,purchase|business|delivered_only,purchase,business,delivered_only
2016-09,39.285714285714285,39.285714285714285,1,purchase|business|delivered_only,purchase,business,delivered_only
2017-11,10.766524227693331,9.285714285714285,7288,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-02,12.053843807199518,10.0,6556,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-09,8.373321858864006,7.142857142857142,4150,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-08,7.868897141494342,7.142857142857142,4193,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-10,8.380814138965102,7.142857142857142,4478,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-07,8.206353305785141,7.142857142857142,3872,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-06,8.580542264752788,7.857142857142858,3135,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-05,8.162200282087468,7.142857142857142,3545,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-06,6.546095800524922,5.714285714285714,6096,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-02,9.500043211476978,7.857142857142858,1653,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-07,6.348394133481851,5.0,6156,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-04,8.156705753793144,6.428571428571429,6798,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-01,10.004142836933884,8.571428571428571,7069,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-05,8.097495925322331,6.428571428571429,6749,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-12,10.932600865486751,9.285714285714285,5513,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-04,10.730723900502454,9.285714285714285,2303,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-08,5.470117191893269,5.0,6351,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-03,9.317416676018384,7.142857142857142,2546,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2018-03,11.598294608433141,9.285714285714285,7003,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-01,9.109523809523807,7.857142857142858,750,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2016-10,14.00793650793651,12.857142857142858,270,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2016-12,3.571428571428571,3.571428571428571,1,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2016-09,39.285714285714285,39.285714285714285,1,purchase|business|any_delivered_ts,purchase,business,any_delivered_ts
2017-11,14.521267837541163,12.0,7288,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-02,16.389168573607932,14.0,6555,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-09,11.205456301303718,10.0,4142,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-08,10.528738373479609,9.0,4193,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-10,11.24408217954444,10.0,4478,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-07,10.986570247933884,10.0,3872,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-06,11.531269942565412,10.0,3134,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-05,10.918758815232723,9.0,3545,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-06,8.729122231337161,7.0,6095,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-02,12.81219512195122,11.0,1640,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-07,8.289996741609645,7.0,6138,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-04,10.737825511254965,9.0,6797,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-01,13.489316541672563,11.0,7067,approved|calendar|delivered_only,approved,calendar,delivered_only
2018-05,10.873166395021485,9.0,6749,approved|calendar|delivered_only,approved,calendar,delivered_only
2017-12,14.769091238889896,12.0,5513,approved|calendar|delivered_only,approved,calendar,delivered_only
