ym,n_defs,n_positive,n_negative,flip,min_growth_pct,max_growth_pct,median_growth_pct
2017-02,64,64,0,False,103.96576070579312,496.3304666218221,145.02392708406208
2017-03,64,64,0,False,48.5237341563661,70.18735194815642,60.99903458192535
2017-04,64,0,64,False,-20.874527281764532,-3.500384607539042,-13.158392392120549
2017-05,64,64,0,False,40.60373815007192,95.68394179230839,56.72505728259303
2017-06,64,0,64,False,-17.32702978973156,-12.753173047039667,-15.485745468493933
2017-07,64,64,0,False,5.591327634661503,16.305090727938953,11.513118351901241
2017-08,64,64,0,False,13.844659802142711,21.31765672336503,17.121070653355197
2017-09,64,64,0,False,3.1216647755317295,9.500630701621349,6.986029257521487
2017-10,64,64,0,False,6.237965487558639,13.577486820624628,9.36285631785273
2017-11,64,48,16,True,-0.9288431549921428,54.83642551007557,45.550021577552066
2017-12,64,16,48,True,-27.56294057228662,47.09218672610491,-18.313726352983746
2018-01,64,48,16,True,-10.942912307049447,28.17671206670418,19.249853317057962
2018-02,64,0,64,False,-11.966760369605279,-9.509642633426118,-10.923570757678208
2018-03,64,64,0,False,15.357383567700333,20.273559170069277,18.707490758923573
2018-04,64,48,16,True,-2.8394536280936467,24.646602722645582,2.475719970912593
2018-05,64,17,47,True,-10.016248797164662,4.859887860116352,-0.8817070138461613
2018-06,64,12,52,True,-14.625187720801913,0.09837084824968478,-11.229040629806342
2018-07,64,21,43,True,-20.61372636634443,4.602598902787736,-2.491234155969646
2018-08,64,45,19,True,-5.649418304965947,43.36391003414568,8.070147779072434
