ym,min,max,mean,spread_pct
2017-01,6.564943734503137,12.753333333333334,9.73731948514325,63.55331781269121
2017-02,6.813619451414737,13.300060496067756,10.186092242857029,63.67938646149233
2017-03,6.999999999999993,13.044383346425766,10.166962181573327,59.451222877376836
2017-04,8.015631784628752,15.02301346070343,11.615656596985296,60.32703891998115
2017-05,5.945259593679467,11.427080394922426,8.762629326087547,62.5590858319526
2017-06,6.304357735436239,12.012759170653908,9.2486085550943,61.7217325310344
2017-07,6.053585296401769,11.488894628099173,8.842995511713015,61.464571869317915
2017-08,5.751431297709956,11.016455998092058,8.456342339533027,62.26125302151432
2017-09,6.171022277312955,11.722650602409638,9.019296597700421,61.552785906964615
2017-10,6.007465067313221,11.73313979455114,8.967906590952596,63.84627972167273
2017-11,7.938881919397814,15.073133918770582,11.631096126705359,61.337744281833444
2017-12,8.357389028529958,15.30564121168148,11.935736311575226,58.21385461082227
2018-01,7.487622011599915,14.005799971707455,10.850796379891401,60.070963751443806
2018-02,9.558025498528922,16.875381330079318,13.327718203246135,54.90329042047243
2018-03,9.26674282450374,16.23761245180637,12.858938006160626,54.21030588966939
2018-04,6.15821880384983,11.419388055310383,8.793919969130052,59.8273496908003
2018-05,6.1221768304299005,11.336494295451178,8.794488072307026,59.29074463629837
2018-06,4.660315898012766,9.164534120734908,6.9765996026542645,64.56179914651402
2018-07,4.272834864940155,8.887751786874594,6.617062096971552,69.74268722741108
2018-08,3.623838765548765,7.658164068650606,5.7054873700307285,70.70956504597632
