ym,share_anchor,share_measure,share_status
2017-02,0.9996536116014949,0.00025089212298672097,9.549627551829612e-05
2017-03,0.980350267561346,0.007897869548294948,0.011751862890359068
2017-04,0.9755492427017272,0.016705115114723362,0.007745642183549371
2017-05,0.9974794721371478,0.0012139238186737978,0.001306604044178314
2017-06,0.9484945229390941,0.03482993052615217,0.016675546534753748
2017-07,0.9855458884859818,0.012188883887365718,0.0022652276266524134
2017-08,0.9621832803613293,0.03084014754350181,0.006976572095168754
2017-09,0.9231819616754479,0.06920792745360325,0.007610110870949011
2017-10,0.9916157034635641,0.004333718130431285,0.0040505784060046275
2017-11,0.9987019876585225,0.0012001937899938531,9.781855148360451e-05
2017-12,0.9997203877783649,0.00025274698735216995,2.6865234283095444e-05
2018-01,0.9990553293296287,0.0006113840095874467,0.0003332866607840059
2018-02,0.8183841827677785,0.09249273276456621,0.08912308446765534
2018-03,0.7442491048444888,0.0721960068615748,0.18355488829393635
2018-04,0.9982278310030664,0.0012534037303651689,0.000518765266568317
2018-05,0.9929910208071114,0.0037754480623737475,0.0032335311305148728
2018-06,0.9822359702037531,0.016230186301039003,0.0015338434952079244
2018-07,0.9918578953697474,0.0027981675733469154,0.005343937056905689
2018-08,0.9988793100342203,0.0006648457372197184,0.0004558442285600329
