ym,revenue,n_orders,def_id,anchor,source,freight,voucher,status,aov
2017-12,878401.4799999995,5673,purchase|payments|incl|all,purchase,payments,n/a,incl,all,154.83897056231262
2017-04,417788.02999999985,2404,purchase|payments|incl|all,purchase,payments,n/a,incl,all,173.78869800332774
2018-08,1022425.3199999988,6512,purchase|payments|incl|all,purchase,payments,n/a,incl,all,157.00634520884503
2017-03,449863.60000000027,2682,purchase|payments|incl|all,purchase,payments,n/a,incl,all,167.73437733035058
2018-03,1159652.1199999952,7211,purchase|payments|incl|all,purchase,payments,n/a,incl,all,160.8171016502559
2017-01,138488.03999999975,800,purchase|payments|incl|all,purchase,payments,n/a,incl,all,173.1100499999997
2016-10,59090.479999999945,324,purchase|payments|incl|all,purchase,payments,n/a,incl,all,182.37802469135787
2016-09,252.24,4,purchase|payments|incl|all,purchase,payments,n/a,incl,all,63.06
2016-12,19.62,1,purchase|payments|incl|all,purchase,payments,n/a,incl,all,19.62
2017-09,727762.4499999993,4285,purchase|payments|incl|all,purchase,payments,n/a,incl,all,169.83954492415384
2017-11,1194882.8000000026,7544,purchase|payments|incl|all,purchase,payments,n/a,incl,all,158.3884941675507
2018-02,992463.3400000014,6728,purchase|payments|incl|all,purchase,payments,n/a,incl,all,147.5123870392392
2017-08,674396.3200000025,4331,purchase|payments|incl|all,purchase,payments,n/a,incl,all,155.7137658739327
2017-10,779677.880000001,4631,purchase|payments|incl|all,purchase,payments,n/a,incl,all,168.36058734614576
2017-07,592382.9200000028,4026,purchase|payments|incl|all,purchase,payments,n/a,incl,all,147.13932439145626
2017-06,511276.38000000274,3245,purchase|payments|incl|all,purchase,payments,n/a,incl,all,157.55820647149545
2017-05,592918.8200000036,3700,purchase|payments|incl|all,purchase,payments,n/a,incl,all,160.2483297297307
2018-09,4439.540000000001,16,purchase|payments|incl|all,purchase,payments,n/a,incl,all,277.47125000000005
2018-10,589.6700000000001,4,purchase|payments|incl|all,purchase,payments,n/a,incl,all,147.41750000000002
2018-06,1000531.4599999955,6167,purchase|payments|excl|all,purchase,payments,n/a,excl,all,162.23957515809883
2017-02,285740.6199999997,1780,purchase|payments|excl|all,purchase,payments,n/a,excl,all,160.52843820224703
2018-07,1046581.9100000015,6292,purchase|payments|excl|all,purchase,payments,n/a,excl,all,166.3353321678324
2018-04,1138635.6199999996,6939,purchase|payments|excl|all,purchase,payments,n/a,excl,all,164.09217754719694
2018-01,1085268.5900000029,7269,purchase|payments|excl|all,purchase,payments,n/a,excl,all,149.30094786077905
2018-05,1132646.0199999935,6873,purchase|payments|excl|all,purchase,payments,n/a,excl,all,164.79645278626415
2017-12,855568.9799999996,5673,purchase|payments|excl|all,purchase,payments,n/a,excl,all,150.81420412480162
2017-04,406184.95999999973,2404,purchase|payments|excl|all,purchase,payments,n/a,excl,all,168.96212978369374
2018-08,987456.1199999992,6512,purchase|payments|excl|all,purchase,payments,n/a,excl,all,151.63638206388194
2017-03,440242.2700000002,2682,purchase|payments|excl|all,purchase,payments,n/a,excl,all,164.1470059656973
2018-03,1133683.229999995,7211,purchase|payments|excl|all,purchase,payments,n/a,excl,all,157.21581334072877
2017-01,134433.6399999998,800,purchase|payments|excl|all,purchase,payments,n/a,excl,all,168.04204999999976
2016-10,58211.409999999945,324,purchase|payments|excl|all,purchase,payments,n/a,excl,all,179.6648456790122
2016-09,252.24,4,purchase|payments|excl|all,purchase,payments,n/a,excl,all,63.06
2016-12,19.62,1,purchase|payments|excl|all,purchase,payments,n/a,excl,all,19.62
2017-09,710216.7499999993,4285,purchase|payments|excl|all,purchase,payments,n/a,excl,all,165.74486581096832
2017-11,1175317.1100000006,7544,purchase|payments|excl|all,purchase,payments,n/a,excl,all,155.79495095440092
2018-02,969385.2500000008,6728,purchase|payments|excl|all,purchase,payments,n/a,excl,all,144.08223097502986
2017-08,659022.340000003,4331,purchase|payments|excl|all,purchase,payments,n/a,excl,all,152.16401293003995
2017-10,760737.9100000014,4631,purchase|payments|excl|all,purchase,payments,n/a,excl,all,164.27076441373384
2017-07,574108.9800000025,4026,purchase|payments|excl|all,purchase,payments,n/a,excl,all,142.60034277198275
2017-06,498466.60000000254,3245,purchase|payments|excl|all,purchase,payments,n/a,excl,all,153.61066255778198
2017-05,576723.620000004,3700,purchase|payments|excl|all,purchase,payments,n/a,excl,all,155.87124864864973
2018-09,0.0,16,purchase|payments|excl|all,purchase,payments,n/a,excl,all,0.0
2018-10,0.0,4,purchase|payments|excl|all,purchase,payments,n/a,excl,all,0.0
2018-06,1020606.0999999954,6149,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,165.9791998698968
2017-02,283561.6899999996,1763,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,160.8404367555301
2018-07,1039816.8400000012,6251,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,166.34407934730464
2018-04,1156634.9200000006,6924,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,167.0472154823802
2018-01,1102475.2700000047,7235,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,152.38082515549476
2018-05,1146158.0599999926,6849,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,167.34677471163565
2017-12,862299.69,5662,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,152.29595372659836
2017-04,405848.6099999999,2386,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,170.09581307627826
2018-08,997040.0299999991,6428,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,155.10890323584306
2017-03,425617.96,2649,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,160.67118157795394
2018-03,1152785.4499999955,7185,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,160.4433472512172
2017-01,136943.45999999982,797,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,171.8236637390211
2016-10,53495.009999999966,300,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,178.31669999999988
2016-09,279.69000000000005,2,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,139.84500000000003
2016-12,19.62,1,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,19.62
2017-09,717102.719999999,4265,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,168.13662837045698
2017-11,1173387.0100000007,7507,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,156.30571599840158
2018-02,980154.6000000007,6655,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,147.28093163035322
2017-08,661986.2800000026,4304,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,153.80722118959167
2017-10,764861.1500000008,4605,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,166.09362649294263
2017-07,578753.7300000027,3998,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,144.76081290645388
2017-06,499652.2400000025,3229,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,154.73900278724142
2017-05,582710.8300000036,3671,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,158.73354126940984
2018-09,166.46,1,purchase|items|incl|ex_canceled,purchase,items,incl,n/a,ex_canceled,166.46
2018-06,863265.5300000184,6149,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,140.39120670027947
2017-02,244959.3499999968,1763,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,138.94461145774068
2018-07,878044.2700000183,6251,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,140.46460886258492
2018-04,993592.9800000265,6924,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,143.49985268631232
2018-01,945456.2900000301,7235,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,130.6781326883248
2018-05,992871.7500000251,6849,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,144.9659439334246
2017-12,742183.790000015,5662,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,131.08155951960703
2017-04,353842.9799999996,2386,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,148.2996563285832
2018-08,848860.100000022,6428,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,132.05664281269787
2017-03,368341.32,2649,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,139.0491959229898
2018-03,981051.0600000254,7185,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,136.5415532359117
2017-01,120098.26999999976,797,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,150.68791718946017
2016-10,46514.990000000114,300,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,155.04996666666705
2016-09,207.86,2,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,103.93
2016-12,10.9,1,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,10.9
2017-09,621415.9100000121,4265,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,145.70126846424668
2017-11,1003862.1400000281,7507,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,133.72347675503238
2018-02,837895.4300000272,6655,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,125.90464763336246
2017-08,568245.7900000104,4304,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,132.02736756505817
2017-10,660179.6200000114,4605,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,143.3614809989167
2017-07,492287.3000000061,3998,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,123.13339169584945
2017-06,429916.61000000354,3229,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,133.14233818519776
2017-05,503159.1900000066,3671,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,137.0632497956978
2018-09,145.0,1,purchase|items|excl|ex_canceled,purchase,items,excl,n/a,ex_canceled,145.0
2018-06,1021220.0199999955,6149,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,166.0790404943886
2017-02,289081.0099999998,1763,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,163.9710777084514
2018-07,1047422.7200000009,6251,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,167.56082546792527
2018-04,1157336.3300000008,6924,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,167.1485167533219
2018-01,1109464.0000000056,7235,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,153.3467864547347
2018-05,1149483.7699999935,6849,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,167.83235070813163
2017-12,874962.2299999997,5662,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,154.53236135641112
2017-04,409846.00999999995,2386,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,171.77116932103937
2018-08,998504.1499999989,6428,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,155.33667548226492
2017-03,442406.37000000017,2649,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,167.00882219705557
2018-03,1156243.7599999956,7185,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,160.9246708420314
2017-01,138119.75999999978,797,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,173.29957340025067
2016-10,53915.49999999998,300,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,179.71833333333325
2016-09,136.23,2,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,68.115
2016-12,19.62,1,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,19.62
2017-09,723781.2699999993,4265,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,169.7025252051581
2017-11,1187224.3600000024,7507,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,158.14897562275243
2018-02,984790.1900000008,6655,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,147.9774891059355
2017-08,667224.4700000029,4304,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,155.0242727695174
2017-10,773104.3500000008,4605,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,167.88368078175913
2017-07,585331.3600000029,3998,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,146.4060430215115
2017-06,507302.62000000273,3229,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,157.10827500774317
2017-05,588529.9600000036,3671,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,160.31870335058665
2018-09,166.46,1,purchase|payments|incl|ex_canceled,purchase,payments,n/a,incl,ex_canceled,166.46
2018-06,997870.9799999956,6149,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,162.28183119206304
2017-02,282913.6199999997,1763,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,160.47284174702196
2018-07,1027488.8800000013,6251,purchase|payments|excl|ex_canceled,purchase,payments,n/a,excl,ex_canceled,164.37192129259338
