ym,total_ss,explained_by_main_effects,share_anchor,share_measure,share_status
2017-01,16.466881688886538,1.0,0.9857012685927459,0.012224102853139362,0.002074628554114863
2017-02,0.7399292289881128,1.0,0.6556594612078764,0.3165618251476236,0.027778713644499905
2017-03,0.4077595573448157,1.0,0.3462018995757458,0.6039222481392906,0.04987585228496365
2017-04,1.0237258016580835,1.0,0.7831766230017859,0.20114169685001146,0.01568168014820278
2017-05,0.259859598901638,1.0,0.06332703011393817,0.9066580217258883,0.030014948160173756
2017-06,0.27067033090310744,1.0,0.017959721001927432,0.9589536051590088,0.023086673839063713
2017-07,0.35837955247605147,1.0,0.19953482417882012,0.7809678355621753,0.019497340259004542
2017-08,0.31126100321691275,1.0,0.12544309833652706,0.8547048204131676,0.019852081250305433
2017-09,0.28122818946335043,1.0,0.15539211922386884,0.8250922029402106,0.01951567783592057
2017-10,0.250122223972481,1.0,0.023672906831940954,0.9570642477441403,0.019262845423918748
2017-11,2.3040510404110757,1.0,0.8810764512734187,0.11717959899105072,0.0017439497355305445
2017-12,0.8669332085429058,1.0,0.691242395810033,0.3022240761824816,0.006533528007485451
2018-01,0.370031370350272,1.0,0.2828932659765062,0.7042512733699327,0.012855460653561107
2018-02,0.41117544830999375,1.0,0.3273117052553775,0.6656401592675683,0.007048135477054148
2018-03,0.4006896791490834,1.0,0.26842029042249865,0.7156357225532671,0.015943987024234236
2018-04,0.4518581478054577,1.0,0.4132806410653438,0.5779821933897413,0.00873716554491492
2018-05,0.24541293489438762,1.0,0.02581001022177379,0.9659366148059182,0.008253374972307942
2018-06,0.5316623742137444,1.0,0.4408442161435354,0.5577095635534488,0.001446220303015864
2018-07,0.42776974744577584,1.0,0.21742791817890939,0.770874818040196,0.011697263780894576
2018-08,1.182297658731076,1.0,0.7445595848658848,0.2535243735983483,0.0019160415357668847
