held_fixed,level,n_defs,median_spread_pct,n_flips,n_pairs,flip_pct
(nothing),all 64 definitions,64,27.505434865836396,8,19,42.10526315789474
anchor,approved,16,18.295379401961306,2,19,10.526315789473685
anchor,carrier,16,15.651806138861671,0,19,0.0
anchor,delivered,16,14.904537122371067,1,19,5.2631578947368425
anchor,purchase,16,18.606756920481665,1,19,5.2631578947368425
measure,items only,16,11.707081359318469,7,19,36.8421052631579
measure,items+freight,16,11.475577418046695,8,19,42.10526315789474
measure,paid ex-voucher,16,12.59666536617289,8,19,42.10526315789474
measure,paid total,16,12.095979333286373,8,19,42.10526315789474
status,all,16,27.196376467513463,8,19,42.10526315789474
status,delivered_only,16,24.265958576272816,8,19,42.10526315789474
status,ex_canceled,16,26.039086749239978,8,19,42.10526315789474
status,ex_canceled_unavail,16,25.342841605834757,8,19,42.10526315789474
