ym,n_defs,min,max,mean,median,spread_abs,spread_pct
2017-01,64,118.7248056537106,174.21177333333307,153.71590044588268,155.7755527959934,55.48696767962247,36.097090488799005
2017-02,64,138.9342808988746,170.574192485168,160.4909054835696,164.57979105571667,31.639911586293408,19.714457645410054
2017-03,64,137.17403310759966,167.73437733035058,155.85313800433156,160.7563061690784,30.560344222750928,19.60842406772816
2017-04,64,144.39884633348797,174.19438500421225,162.162007639039,165.80249763172958,29.795538670724284,18.373933021997985
2017-05,64,136.77598378378565,161.1665517241389,153.7579255530215,157.7396251534796,24.390567940353264,15.862966317103755
2017-06,64,130.83639288997963,158.4543573185741,148.97021434140592,152.89238048476324,27.617964428594462,18.53925266248215
2017-07,64,123.13339169584944,153.76894645441456,142.28625631817073,145.93605342526072,30.63555475856512,21.530930359190844
2017-08,64,124.4839446768962,155.7137658739327,145.59087512817555,150.02853416550397,31.229821197036486,21.450397333996598
2017-09,64,142.8084200700145,169.83954492415384,160.99127807139263,165.5663876860942,27.031124854139335,16.790428138692214
2017-10,64,143.3614809989167,170.67971852836885,162.01394186277201,166.35044065719984,27.318237529452148,16.861658456894446
2017-11,64,133.72347675503238,161.78829764453926,153.12670673177595,157.99834638000814,28.064820889506876,18.327842012998136
2017-12,64,130.62692484788977,154.83897056231262,146.7372343017224,151.40747124510096,24.212045714422857,16.500273996331316
2018-01,64,129.01593451569246,153.92643781654533,145.8722395204517,150.1991131966077,24.910503300852866,17.076932103561997
2018-02,64,124.83794810617768,149.66054529914524,141.4620145369669,145.79472373356188,24.822597192967564,17.54718202919478
2018-03,64,130.71503296703668,160.9246708420314,151.62879362269425,156.3515166561599,30.209637874994712,19.923417678944883
2018-04,64,141.65254522293196,168.37605969722912,160.36506812221762,165.2321085726182,26.72351447429716,16.664174303802
2018-05,64,141.8368105751688,167.9007929579505,159.7542872935576,164.60429475460504,26.06398238278169,16.315044074458942
2018-06,64,140.28284579212232,171.5674344706385,160.8734103969459,166.0024505916693,31.284588678516172,19.446711921704928
2018-07,64,136.39815893132698,169.50743006993028,157.53504589321713,162.5366872289731,33.109271138603305,21.017082866149
2018-08,64,131.24790079852923,162.05924945874463,151.6839696690598,155.80187907063487,30.8113486602154,20.31285753361994
